A;fechaFactura
B;serieFactura
C;numeroFactura
D;referenciaFactura
E;baseFactura1
F;porcentajeIva1
G;cuotaIva1
H;porcentajeRecargo1
I;cuotaRecargo1
J;baseFactura2
K;porcentajeIva2
L;cuotaIva2
M;porcentajeRecargo2
N;cuotaRecargo2
O;baseFactura3
P;porcentajeIva3
Q;cuotaIva3
R;porcentajeRecargo3
S;cuotaRecargo3
T;baseFactura4
U;porcentajeIva4
V;cuotaIva4
W;porcentajeRecargo4
X;cuotaRecargo4
Y;baseIrpf
Z;porcentajeIrpf
AA;cuotaIrpf
AB;totalFactura
AC;nifFactura
AD;apellidoFactura
AE;nombreFactura
AF;periodoFactura
AG;cuentaContable
AH;cuentaContrapartida
AI;codigoConcepto
AJ;fechaOperacion
AK;facturaDeducible
AL;direccionFactura
AM;codPostalFactura
