A;fechaFactura
B;serieFactura
C;numeroFactura
D;referenciaFactura
E;baseFactura1
F;porcentajeIva1
G;cuotaIva1
H;porcentajeRecargo1
I;cuotaRecargo1
J;baseFactura2
K;porcentajeIva2
L;cuotaIva2
M;porcentajeRecargo2
N;cuotaRecargo2
O;baseFactura3
P;porcentajeIva3
Q;cuotaIva3
R;porcentajeRecargo3
S;cuotaRecargo3
T;baseFactura4
U;porcentajeIva4
V;cuotaIva4
W;porcentajeRecargo4
X;cuotaRecargo4
Y;baseIrpf
Z;porcentajeIrpf
AA;cuotaIrpf
AB;totalFactura
AC;nifFactura
AD;apellidoFactura
AE;nombreFactura
AF;periodoFactura
AG;cuentaContable
AH;cuentaContrapartida
AI;codigoConcepto
AJ;fechaOperacion
AK;facturaDeducible
AL;direccionFactura
AM;codPostalFactura
AN;paisFactura
AO;baseFactura5
AP;porcentajeIva5
AQ;cuotaIva5
AR;porcentajeRecargo5
AS;cuotaRecargo5
AT;baseFactura6
AU;porcentajeIva6
AV;cuotaIva6
AW;porcentajeRecargo6
AX;cuotaRecargo6
AY;baseFactura7
AZ;porcentajeIva7
BA;cuotaIva7
BB;porcentajeRecargo7
BC;cuotaRecargo7
BD;baseFactura8
BE;porcentajeIva8
BF;cuotaIva8
BG;porcentajeRecargo8
BH;cuotaRecargo8
BI;baseFactura9
BJ;porcentajeIva9
BK;cuotaIva9
BL;porcentajeRecargo9
BM;cuotaRecargo9
